Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Year
,,,4.0,0.0,0.0,0.0,4.0,31.0,10.0,18.0,3.0,0.0,2020
,,,39.0,0.0,6.0,7.0,26.0,,73.0,,45.0,7.0,2020
,,,67.0,0.0,4.0,9.0,54.0,615.0,75.0,478.0,62.0,0.0,2020
,,,,19.0,235.0,380.0,,,,,,22.0,2020
,,,38.0,0.0,0.0,1.0,37.0,565.0,63.0,369.0,133.0,,2020
,,,27.0,0.0,3.0,8.0,16.0,559.0,40.0,501.0,18.0,1.0,2020
,,,97.0,0.0,11.0,5.0,81.0,267.0,15.0,235.0,17.0,,2020
,,,15.0,0.0,2.0,2.0,11.0,216.0,31.0,175.0,10.0,,2020
,,,7.0,0.0,0.0,1.0,6.0,77.0,24.0,43.0,10.0,2.0,2020
,,,100.0,0.0,0.0,2.0,98.0,332.0,74.0,238.0,20.0,4.0,2020
,,,471.0,3.0,68.0,73.0,327.0,,431.0,,215.0,9.0,2020
,,,,187.0,,,,,,,,297.0,2020
,,,5.0,0.0,0.0,0.0,5.0,21.0,2.0,16.0,3.0,,2020
,,,37.0,0.0,5.0,6.0,26.0,111.0,9.0,97.0,5.0,,2020
,,,168.0,0.0,31.0,3.0,134.0,657.0,129.0,494.0,34.0,,2020
,,,80.0,0.0,21.0,10.0,49.0,374.0,39.0,317.0,18.0,,2020
,,,36.0,1.0,3.0,4.0,28.0,273.0,26.0,236.0,11.0,0.0,2020
,,,25.0,0.0,2.0,2.0,21.0,323.0,37.0,201.0,85.0,0.0,2020
,,,470.0,7.0,109.0,97.0,257.0,,683.0,,299.0,21.0,2020
,,,75.0,0.0,10.0,1.0,64.0,313.0,37.0,259.0,17.0,2.0,2020
,,,82.0,1.0,4.0,12.0,65.0,888.0,85.0,764.0,39.0,,2020
,,,66.0,1.0,0.0,1.0,64.0,116.0,26.0,81.0,9.0,,2020
,,,35.0,1.0,2.0,3.0,29.0,112.0,30.0,61.0,21.0,0.0,2020
,,,113.0,1.0,11.0,15.0,86.0,665.0,108.0,515.0,42.0,4.0,2020
,,,3.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,3.0,0.0,2020
,,,16.0,0.0,9.0,0.0,7.0,30.0,9.0,19.0,2.0,2.0,2020
,,,15.0,0.0,1.0,1.0,13.0,75.0,26.0,42.0,7.0,1.0,2020
,,,209.0,2.0,34.0,30.0,143.0,,170.0,,159.0,14.0,2020
,,,,8.0,155.0,248.0,689.0,,960.0,,700.0,,2020
,,,90.0,0.0,4.0,18.0,68.0,909.0,200.0,612.0,97.0,2.0,2020
,,,,61.0,463.0,978.0,,,,,,246.0,2020
,,,3.0,0.0,0.0,0.0,3.0,26.0,11.0,15.0,0.0,0.0,2020
,,,20.0,0.0,4.0,0.0,16.0,158.0,12.0,128.0,18.0,2.0,2020
,,,5.0,0.0,0.0,0.0,5.0,138.0,37.0,88.0,13.0,,2020
,,,44.0,0.0,1.0,1.0,42.0,69.0,9.0,56.0,4.0,,2020
,,,107.0,2.0,6.0,5.0,94.0,345.0,48.0,271.0,26.0,2.0,2020
,,,498.0,11.0,39.0,43.0,405.0,,330.0,,185.0,25.0,2020
,,,41.0,1.0,7.0,0.0,33.0,96.0,37.0,53.0,6.0,3.0,2020
,,,20.0,0.0,9.0,0.0,11.0,152.0,30.0,119.0,3.0,1.0,2020
,,726.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,2020
,,681.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2020
,,,48.0,0.0,1.0,4.0,43.0,227.0,35.0,185.0,7.0,1.0,2020
,,,8.0,2.0,0.0,1.0,5.0,110.0,22.0,76.0,12.0,0.0,2020
,,,2.0,0.0,1.0,0.0,1.0,54.0,9.0,45.0,0.0,0.0,2020
,,,7.0,0.0,4.0,0.0,3.0,72.0,18.0,52.0,2.0,1.0,2020
,,,6.0,0.0,2.0,1.0,3.0,15.0,7.0,7.0,1.0,1.0,2020
,,,11.0,0.0,4.0,0.0,7.0,62.0,36.0,22.0,4.0,0.0,2020
,,,14.0,1.0,3.0,0.0,10.0,105.0,34.0,67.0,4.0,1.0,2020
,,,24.0,0.0,3.0,0.0,21.0,75.0,17.0,54.0,4.0,0.0,2020
,,,35.0,2.0,14.0,1.0,18.0,256.0,31.0,202.0,23.0,0.0,2020
,,,9.0,0.0,3.0,0.0,6.0,15.0,4.0,10.0,1.0,0.0,2020
