State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Year
,Bayou La Batre,2166.0,25.0,0.0,2.0,1.0,22.0,125.0,22.0,87.0,16.0,2.0,2022
,Bear Creek,1047.0,1.0,0.0,0.0,0.0,1.0,20.0,5.0,13.0,2.0,0.0,2022
,Berry,1193.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,2022
,Bessemer,25265.0,460.0,10.0,15.0,75.0,360.0,1872.0,211.0,1382.0,279.0,8.0,2022
,Birmingham,195050.0,3280.0,142.0,62.0,477.0,2599.0,8139.0,1519.0,4821.0,1799.0,134.0,2022
,Blountsville,1825.0,3.0,0.0,1.0,0.0,2.0,29.0,7.0,17.0,5.0,0.0,2022
,Brent,2995.0,18.0,0.0,1.0,1.0,16.0,99.0,9.0,84.0,6.0,0.0,2022
,Brewton,5251.0,46.0,0.0,3.0,0.0,43.0,148.0,18.0,119.0,11.0,3.0,2022
,Bridgeport,2256.0,8.0,0.0,0.0,0.0,8.0,53.0,11.0,35.0,7.0,0.0,2022
,Brookside,1218.0,1.0,0.0,0.0,0.0,1.0,13.0,3.0,9.0,1.0,0.0,2022
,Brundidge,2053.0,11.0,1.0,0.0,4.0,6.0,61.0,8.0,48.0,5.0,0.0,2022
,Butler,1846.0,4.0,0.0,0.0,1.0,3.0,38.0,9.0,23.0,6.0,0.0,2022
,Camden,1808.0,2.0,0.0,0.0,0.0,2.0,10.0,3.0,4.0,3.0,0.0,2022
,Camp Hill,977.0,3.0,2.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,0.0,2022
,Carbon Hill,1714.0,3.0,0.0,1.0,0.0,2.0,36.0,7.0,26.0,3.0,0.0,2022
,Castleberry,469.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,2022
,Cedar Bluff,1879.0,5.0,0.0,0.0,0.0,5.0,41.0,6.0,29.0,6.0,0.0,2022
,Centre,3546.0,8.0,0.0,2.0,0.0,6.0,186.0,20.0,153.0,13.0,1.0,2022
,Centreville,2803.0,10.0,0.0,5.0,0.0,5.0,42.0,12.0,30.0,0.0,0.0,2022
,Chatom,1034.0,3.0,0.0,1.0,0.0,2.0,8.0,2.0,5.0,1.0,0.0,2022
,Cherokee,958.0,1.0,0.0,0.0,0.0,1.0,24.0,4.0,16.0,4.0,3.0,2022
,Chickasaw,6333.0,27.0,2.0,3.0,2.0,20.0,118.0,19.0,87.0,12.0,2.0,2022
,Childersburg,4631.0,9.0,0.0,0.0,1.0,8.0,107.0,44.0,49.0,14.0,0.0,2022
,Citronelle,3916.0,19.0,2.0,0.0,1.0,16.0,48.0,13.0,31.0,4.0,0.0,2022
,Clanton,8799.0,47.0,3.0,3.0,2.0,39.0,393.0,128.0,250.0,15.0,3.0,2022
,Clayhatchee,473.0,2.0,0.0,0.0,0.0,2.0,7.0,1.0,6.0,0.0,0.0,2022
,Clayton,2258.0,8.0,0.0,0.0,0.0,8.0,17.0,5.0,11.0,1.0,0.0,2022
,Cleveland,1242.0,2.0,0.0,0.0,0.0,2.0,14.0,2.0,10.0,2.0,0.0,2022
,Coffeeville,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Collinsville,2029.0,2.0,1.0,0.0,0.0,1.0,23.0,4.0,15.0,4.0,0.0,2022
,Columbia,691.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022
,Columbiana,4347.0,19.0,0.0,0.0,1.0,18.0,532.0,450.0,76.0,6.0,0.0,2022
,Coosada,1276.0,1.0,0.0,0.0,0.0,1.0,9.0,3.0,3.0,3.0,0.0,2022
,Cordova,1663.0,7.0,0.0,1.0,0.0,6.0,57.0,10.0,43.0,4.0,0.0,2022
,Cottonwood,1046.0,2.0,0.0,0.0,0.0,2.0,20.0,4.0,15.0,1.0,1.0,2022
,Creola,1936.0,5.0,0.0,0.0,0.0,5.0,42.0,6.0,31.0,5.0,0.0,2022
,Crossville,1810.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2022
,Cullman,19065.0,24.0,0.0,10.0,6.0,8.0,684.0,39.0,611.0,34.0,1.0,2022
,Dadeville,2962.0,4.0,0.0,0.0,1.0,3.0,55.0,6.0,42.0,7.0,0.0,2022
,Daleville,4876.0,24.0,0.0,2.0,4.0,18.0,99.0,16.0,76.0,7.0,3.0,2022
,Daphne,29871.0,22.0,1.0,2.0,1.0,18.0,365.0,122.0,220.0,23.0,0.0,2022
,Dauphin Island,1843.0,3.0,0.0,0.0,0.0,3.0,18.0,2.0,16.0,0.0,0.0,2022
,Decatur,57831.0,242.0,12.0,21.0,34.0,175.0,1501.0,182.0,1166.0,153.0,162.0,2022
,Demopolis,6885.0,50.0,1.0,4.0,2.0,43.0,224.0,38.0,175.0,11.0,0.0,2022
,Dora,2281.0,2.0,0.0,0.0,0.0,2.0,58.0,9.0,40.0,9.0,0.0,2022
,Dothan,71196.0,749.0,14.0,59.0,44.0,632.0,2686.0,1003.0,1575.0,108.0,31.0,2022
,Double Springs,1083.0,3.0,0.0,0.0,1.0,2.0,25.0,7.0,13.0,5.0,0.0,2022
,Douglas,765.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,11.0,4.0,0.0,2022
,East Brewton,2261.0,8.0,0.0,0.0,0.0,8.0,32.0,3.0,25.0,4.0,0.0,2022
,Eclectic,1234.0,6.0,0.0,0.0,0.0,6.0,19.0,2.0,14.0,3.0,0.0,2022
,Elba,3398.0,12.0,1.0,1.0,0.0,10.0,119.0,38.0,70.0,11.0,3.0,2022
,Elberta,2036.0,6.0,1.0,2.0,0.0,3.0,81.0,10.0,46.0,25.0,0.0,2022
,Enterprise,29936.0,172.0,1.0,7.0,6.0,158.0,729.0,144.0,525.0,60.0,3.0,2022
,Eufaula,12528.0,57.0,2.0,4.0,6.0,45.0,316.0,58.0,236.0,22.0,6.0,2022
,Eutaw,2823.0,3.0,0.0,0.0,0.0,3.0,10.0,1.0,6.0,3.0,0.0,2022
,Evergreen,3309.0,15.0,1.0,1.0,2.0,11.0,32.0,6.0,20.0,6.0,0.0,2022
,Excel,546.0,4.0,1.0,0.0,0.0,3.0,22.0,7.0,14.0,1.0,1.0,2022
,Fairhope,23747.0,43.0,1.0,6.0,3.0,33.0,364.0,60.0,280.0,24.0,3.0,2022
,Fayette,4132.0,7.0,0.0,0.0,0.0,7.0,69.0,8.0,54.0,7.0,1.0,2022
,Flomaton,1455.0,9.0,1.0,1.0,0.0,7.0,61.0,21.0,36.0,4.0,1.0,2022
,Florala,1904.0,6.0,0.0,1.0,0.0,5.0,56.0,11.0,30.0,15.0,0.0,2022
,Florence,40063.0,233.0,1.0,31.0,6.0,195.0,1060.0,175.0,787.0,98.0,1.0,2022
,Foley,23629.0,38.0,2.0,5.0,4.0,27.0,554.0,145.0,367.0,42.0,3.0,2022
,Fort Deposit,1154.0,11.0,0.0,0.0,1.0,10.0,43.0,4.0,27.0,12.0,0.0,2022
,Fort Payne,14845.0,22.0,0.0,5.0,2.0,15.0,265.0,37.0,202.0,26.0,3.0,2022
,Frisco City,1156.0,4.0,1.0,0.0,0.0,3.0,17.0,6.0,10.0,1.0,0.0,2022
,Fultondale,9699.0,15.0,0.0,2.0,4.0,9.0,271.0,25.0,197.0,49.0,2.0,2022
,Gadsden,33521.0,189.0,6.0,15.0,17.0,151.0,1302.0,152.0,1009.0,141.0,13.0,2022
,Gardendale,16861.0,61.0,0.0,3.0,8.0,50.0,366.0,14.0,325.0,27.0,1.0,2022
,Geneva,4169.0,11.0,0.0,1.0,0.0,10.0,84.0,10.0,69.0,5.0,0.0,2022
,Georgiana,1303.0,14.0,1.0,1.0,0.0,12.0,33.0,3.0,29.0,1.0,0.0,2022
,Geraldine,910.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,8.0,2.0,0.0,2022
,Gilbertown,721.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,0.0,2022
,Glencoe,5406.0,4.0,0.0,0.0,0.0,4.0,25.0,3.0,15.0,7.0,0.0,2022
,Gordo,1590.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,3.0,1.0,0.0,2022
,Gordon,293.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,2022
,Grant,1042.0,1.0,0.0,1.0,0.0,0.0,18.0,5.0,12.0,1.0,0.0,2022
,Greensboro,2179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Guin,2158.0,6.0,0.0,1.0,1.0,4.0,23.0,2.0,11.0,10.0,0.0,2022
,Gulf Shores,16274.0,54.0,1.0,6.0,0.0,47.0,394.0,31.0,356.0,7.0,2.0,2022
,Guntersville,8858.0,29.0,1.0,8.0,3.0,17.0,275.0,45.0,185.0,45.0,1.0,2022
,Gurley,826.0,2.0,0.0,0.0,0.0,2.0,26.0,6.0,18.0,2.0,1.0,2022
,Hackleburg,1430.0,1.0,0.0,0.0,0.0,1.0,8.0,2.0,6.0,0.0,0.0,2022
,Haleyville,4366.0,23.0,0.0,2.0,0.0,21.0,194.0,74.0,108.0,12.0,0.0,2022
,Hanceville,3261.0,10.0,0.0,1.0,0.0,9.0,66.0,9.0,48.0,9.0,0.0,2022
,Harpersville,1752.0,6.0,0.0,0.0,1.0,5.0,22.0,3.0,18.0,1.0,1.0,2022
,Hartford,2666.0,3.0,0.0,0.0,0.0,3.0,15.0,3.0,11.0,1.0,1.0,2022
,Hartselle,15626.0,30.0,2.0,5.0,0.0,23.0,161.0,20.0,123.0,18.0,1.0,2022
,Hayden,1328.0,2.0,0.0,0.0,1.0,1.0,16.0,4.0,11.0,1.0,0.0,2022
,Hayneville,751.0,3.0,1.0,0.0,0.0,2.0,5.0,0.0,5.0,0.0,0.0,2022
,Headland,5320.0,2.0,0.0,0.0,0.0,2.0,51.0,15.0,34.0,2.0,0.0,2022
,Heflin,3402.0,2.0,0.0,0.0,0.0,2.0,39.0,9.0,21.0,9.0,0.0,2022
,Helena,22035.0,21.0,2.0,3.0,0.0,16.0,123.0,16.0,93.0,14.0,0.0,2022
,Henagar,2293.0,2.0,0.0,0.0,0.0,2.0,20.0,5.0,13.0,2.0,0.0,2022
,Hillsboro,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Hokes Bluff,4451.0,2.0,0.0,0.0,0.0,2.0,29.0,4.0,20.0,5.0,0.0,2022
,Hollywood,921.0,2.0,0.0,0.0,1.0,1.0,31.0,3.0,28.0,0.0,0.0,2022
,Homewood,25788.0,19.0,0.0,1.0,4.0,14.0,341.0,26.0,283.0,32.0,0.0,2022
,Hoover,92491.0,90.0,2.0,16.0,13.0,59.0,1443.0,114.0,1251.0,78.0,1.0,2022
,Hueytown,16313.0,70.0,5.0,4.0,8.0,53.0,549.0,122.0,374.0,53.0,2.0,2022
,Huntsville,218897.0,654.0,0.0,68.0,61.0,525.0,3297.0,613.0,2348.0,336.0,6.0,2022
,Ider,743.0,1.0,0.0,0.0,0.0,1.0,26.0,5.0,18.0,3.0,0.0,2022
,Irondale,13528.0,38.0,0.0,2.0,6.0,30.0,344.0,142.0,148.0,54.0,2.0,2022
,Jackson,4576.0,30.0,0.0,5.0,0.0,25.0,116.0,29.0,81.0,6.0,0.0,2022
,Jacksons Gap,757.0,5.0,0.0,0.0,0.0,5.0,20.0,2.0,13.0,5.0,0.0,2022
,Jacksonville,13025.0,120.0,0.0,6.0,0.0,114.0,260.0,58.0,196.0,6.0,1.0,2022
,Jasper,14312.0,60.0,1.0,8.0,2.0,49.0,677.0,174.0,443.0,60.0,2.0,2022
,Jemison,2662.0,17.0,0.0,5.0,2.0,10.0,69.0,14.0,46.0,9.0,0.0,2022
,Killen,1043.0,5.0,0.0,0.0,0.0,5.0,16.0,3.0,11.0,2.0,0.0,2022
,Kimberly,4036.0,6.0,0.0,0.0,0.0,6.0,22.0,2.0,15.0,5.0,0.0,2022
,Kinsey,2290.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2022
,Kinston,589.0,3.0,0.0,0.0,0.0,3.0,37.0,7.0,28.0,2.0,2.0,2022
,LaFayette,2579.0,3.0,0.0,0.0,0.0,3.0,25.0,6.0,18.0,1.0,0.0,2022
,Lake View,3709.0,3.0,0.0,1.0,0.0,2.0,22.0,6.0,13.0,3.0,0.0,2022
,Lanett,6716.0,34.0,0.0,3.0,5.0,26.0,181.0,31.0,129.0,21.0,1.0,2022
,Leeds,12206.0,40.0,1.0,5.0,2.0,32.0,231.0,30.0,183.0,18.0,1.0,2022
,Leesburg,914.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,1.0,0.0,2022
,Leighton,662.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,2.0,0.0,2022
,Level Plains,1823.0,11.0,0.0,0.0,1.0,10.0,31.0,2.0,27.0,2.0,1.0,2022
,Lincoln,7256.0,34.0,0.0,3.0,2.0,29.0,164.0,26.0,104.0,34.0,2.0,2022
,Linden,1856.0,11.0,1.0,1.0,1.0,8.0,24.0,8.0,12.0,4.0,0.0,2022
,Lineville,2469.0,3.0,0.0,0.0,0.0,3.0,10.0,3.0,7.0,0.0,0.0,2022
,Lipscomb,2018.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2022
,Littleville,1041.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,5.0,2.0,0.0,2022
,Livingston,3112.0,16.0,0.0,0.0,1.0,15.0,30.0,10.0,18.0,2.0,0.0,2022
,Lockhart,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Luverne,2658.0,12.0,1.0,3.0,2.0,6.0,47.0,5.0,36.0,6.0,0.0,2022
,Maplesville,643.0,1.0,0.0,0.0,0.0,1.0,15.0,4.0,11.0,0.0,0.0,2022
,Margaret,5685.0,3.0,0.0,0.0,0.0,3.0,31.0,2.0,25.0,4.0,0.0,2022
,McIntosh,198.0,3.0,0.0,0.0,0.0,3.0,20.0,6.0,14.0,0.0,1.0,2022
,Mentone,322.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,4.0,1.0,0.0,2022
,Midfield,5036.0,25.0,1.0,0.0,7.0,17.0,56.0,7.0,41.0,8.0,0.0,2022
,Midland City,2285.0,15.0,0.0,1.0,3.0,11.0,64.0,15.0,45.0,4.0,1.0,2022
,Millbrook,17567.0,32.0,1.0,5.0,3.0,23.0,429.0,20.0,379.0,30.0,0.0,2022
,Millport,960.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,2022
,Millry,439.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,4.0,1.0,0.0,2022
,Mobile,239323.0,2218.0,41.0,124.0,135.0,1918.0,7211.0,1077.0,5521.0,613.0,15.0,2022
,Monroeville,5797.0,52.0,3.0,1.0,1.0,47.0,138.0,11.0,116.0,11.0,1.0,2022
,Montevallo,7517.0,7.0,0.0,0.0,0.0,7.0,73.0,14.0,57.0,2.0,3.0,2022
,Moody,13862.0,23.0,2.0,3.0,1.0,17.0,140.0,12.0,95.0,33.0,0.0,2022
,Morris,2246.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,8.0,3.0,0.0,2022
,Moulton,3353.0,13.0,0.0,1.0,2.0,10.0,155.0,17.0,129.0,9.0,0.0,2022
,Mountain Brook,21910.0,6.0,0.0,1.0,0.0,5.0,206.0,36.0,161.0,9.0,1.0,2022
,Mount Vernon,1371.0,6.0,0.0,0.0,0.0,6.0,31.0,19.0,11.0,1.0,1.0,2022
,Muscle Shoals,16917.0,61.0,0.0,5.0,1.0,55.0,413.0,28.0,359.0,26.0,1.0,2022
,Napier Field,410.0,2.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,0.0,0.0,2022
,New Brockton,1453.0,2.0,0.0,0.0,0.0,2.0,21.0,5.0,13.0,3.0,0.0,2022
,New Hope,2884.0,3.0,0.0,0.0,0.0,3.0,31.0,5.0,22.0,4.0,0.0,2022
,Newton,1615.0,13.0,0.0,2.0,1.0,10.0,46.0,8.0,32.0,6.0,0.0,2022
,North Courtland,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Northport,30901.0,110.0,0.0,5.0,7.0,98.0,508.0,70.0,403.0,35.0,3.0,2022
,Notasulga,894.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,3.0,4.0,0.0,2022
,Odenville,5026.0,11.0,0.0,1.0,1.0,9.0,58.0,9.0,41.0,8.0,0.0,2022
,Ohatchee,1203.0,4.0,0.0,1.0,0.0,3.0,27.0,2.0,20.0,5.0,0.0,2022
,Oneonta,6798.0,19.0,0.0,2.0,2.0,15.0,262.0,17.0,240.0,5.0,1.0,2022
,Opelika,32010.0,259.0,7.0,23.0,19.0,210.0,877.0,90.0,718.0,69.0,5.0,2022
,Opp,6641.0,31.0,0.0,3.0,4.0,24.0,140.0,24.0,109.0,7.0,0.0,2022
,Orange Beach,8530.0,32.0,0.0,5.0,1.0,26.0,206.0,16.0,182.0,8.0,0.0,2022
,Owens Crossroads,2648.0,4.0,0.0,0.0,0.0,4.0,32.0,1.0,25.0,6.0,0.0,2022
,Oxford,22318.0,52.0,0.0,7.0,5.0,40.0,650.0,47.0,575.0,28.0,0.0,2022
,Ozark,14299.0,75.0,0.0,5.0,6.0,64.0,491.0,65.0,389.0,37.0,6.0,2022
,Parrish,977.0,5.0,0.0,0.0,2.0,3.0,34.0,12.0,21.0,1.0,0.0,2022
,Pelham,24920.0,33.0,0.0,1.0,2.0,30.0,329.0,25.0,264.0,40.0,3.0,2022
,Pell City,13607.0,40.0,1.0,5.0,3.0,31.0,313.0,24.0,263.0,26.0,0.0,2022
,Pennington,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Phenix City,38076.0,334.0,10.0,24.0,31.0,269.0,1408.0,186.0,1047.0,175.0,4.0,2022
,Phil Campbell,988.0,2.0,0.0,0.0,0.0,2.0,14.0,5.0,7.0,2.0,0.0,2022
,Pickensville,545.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2022
,Piedmont,4779.0,5.0,0.0,2.0,0.0,3.0,10.0,0.0,7.0,3.0,0.0,2022
,Pine Hill,751.0,6.0,3.0,0.0,0.0,3.0,10.0,2.0,7.0,1.0,1.0,2022
,Pleasant Grove,9454.0,22.0,0.0,3.0,0.0,19.0,93.0,20.0,65.0,8.0,1.0,2022
,Prattville,38679.0,106.0,5.0,7.0,8.0,86.0,895.0,58.0,779.0,58.0,1.0,2022
,Priceville,3822.0,7.0,0.0,3.0,0.0,4.0,19.0,3.0,13.0,3.0,0.0,2022
,Prichard,18936.0,157.0,3.0,7.0,19.0,128.0,399.0,108.0,213.0,78.0,20.0,2022
,Ragland,1715.0,2.0,0.0,0.0,0.0,2.0,17.0,1.0,13.0,3.0,0.0,2022
,Rainbow City,10150.0,11.0,0.0,6.0,1.0,4.0,117.0,17.0,94.0,6.0,0.0,2022
,Rainsville,5685.0,4.0,0.0,2.0,0.0,2.0,13.0,0.0,10.0,3.0,1.0,2022
,Ranburne,420.0,2.0,0.0,0.0,0.0,2.0,6.0,1.0,5.0,0.0,0.0,2022
,Red Bay,3177.0,7.0,0.0,2.0,0.0,5.0,51.0,5.0,40.0,6.0,0.0,2022
,Red Level,431.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022
,Repton,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Riverside,2265.0,4.0,0.0,0.0,0.0,4.0,27.0,4.0,20.0,3.0,0.0,2022
,Robertsdale,7116.0,24.0,0.0,2.0,2.0,20.0,389.0,115.0,268.0,6.0,0.0,2022
,Rogersville,1370.0,3.0,0.0,0.0,0.0,3.0,18.0,6.0,9.0,3.0,1.0,2022
,Russellville,10768.0,26.0,1.0,3.0,0.0,22.0,225.0,40.0,170.0,15.0,1.0,2022
,Samson,1856.0,4.0,0.0,0.0,0.0,4.0,12.0,3.0,8.0,1.0,0.0,2022
,Saraland,16459.0,23.0,0.0,2.0,3.0,18.0,319.0,21.0,274.0,24.0,0.0,2022
,Sardis City,1787.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,15.0,2.0,0.0,2022
,Satsuma,6811.0,4.0,0.0,0.0,0.0,4.0,30.0,2.0,23.0,5.0,0.0,2022
,Selma,17296.0,133.0,7.0,7.0,11.0,108.0,280.0,91.0,166.0,23.0,3.0,2022
,Shorter,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Silverhill,1341.0,3.0,0.0,0.0,0.0,3.0,12.0,1.0,10.0,1.0,0.0,2022
,Skyline,843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Slocomb,2099.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,9.0,1.0,0.0,2022
,Snead,1023.0,1.0,0.0,0.0,0.0,1.0,17.0,1.0,9.0,7.0,0.0,2022
,Somerville,802.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,5.0,1.0,0.0,2022
,Southside,9524.0,4.0,1.0,0.0,0.0,3.0,22.0,0.0,16.0,6.0,0.0,2022
,Spanish Fort,10689.0,4.0,0.0,0.0,2.0,2.0,185.0,26.0,152.0,7.0,0.0,2022
,Springville,5048.0,12.0,0.0,0.0,1.0,11.0,49.0,7.0,36.0,6.0,1.0,2022
,Stevenson,1963.0,7.0,0.0,1.0,1.0,5.0,29.0,4.0,20.0,5.0,0.0,2022
,St. Florian,704.0,2.0,0.0,0.0,0.0,2.0,22.0,2.0,19.0,1.0,0.0,2022
,Sulligent,1806.0,1.0,0.0,0.0,0.0,1.0,20.0,7.0,12.0,1.0,0.0,2022
,Sumiton,2405.0,5.0,0.0,2.0,0.0,3.0,64.0,6.0,48.0,10.0,0.0,2022
,Summerdale,1587.0,6.0,0.0,1.0,0.0,5.0,43.0,6.0,34.0,3.0,1.0,2022
,Sweet Water,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Sylacauga,12205.0,74.0,3.0,7.0,1.0,63.0,400.0,133.0,241.0,26.0,2.0,2022
,Sylvania,1805.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,11.0,2.0,0.0,2022
,Talladega,15448.0,100.0,3.0,11.0,2.0,84.0,377.0,65.0,271.0,41.0,0.0,2022
,Tallassee,4816.0,33.0,1.0,2.0,2.0,28.0,225.0,53.0,141.0,31.0,1.0,2022
,Tarrant,5913.0,149.0,0.0,3.0,15.0,131.0,270.0,58.0,168.0,44.0,5.0,2022
,Thomasville,3518.0,19.0,0.0,0.0,0.0,19.0,86.0,7.0,70.0,9.0,1.0,2022
,Thorsby,2117.0,4.0,0.0,0.0,0.0,4.0,14.0,5.0,7.0,2.0,0.0,2022
,Trafford,598.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2022
,Triana,3829.0,7.0,0.0,0.0,0.0,7.0,17.0,10.0,7.0,0.0,0.0,2022
,Trinity,2553.0,8.0,1.0,0.0,0.0,7.0,52.0,7.0,38.0,7.0,1.0,2022
,Troy,17639.0,73.0,0.0,11.0,7.0,55.0,443.0,77.0,347.0,19.0,0.0,2022
,Trussville,26561.0,41.0,4.0,3.0,8.0,26.0,692.0,18.0,641.0,33.0,0.0,2022
,Tuscaloosa,101280.0,646.0,12.0,27.0,60.0,547.0,2919.0,356.0,2312.0,251.0,4.0,2022
,Tuscumbia,9081.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,12.0,7.0,0.0,2022
,Tuskegee,8600.0,82.0,8.0,2.0,11.0,61.0,130.0,26.0,94.0,10.0,2.0,2022
,Union Springs,3301.0,50.0,2.0,0.0,4.0,44.0,58.0,11.0,36.0,11.0,2.0,2022
,Valley,10475.0,54.0,4.0,9.0,7.0,34.0,384.0,52.0,297.0,35.0,1.0,2022
,Vernon,1833.0,5.0,0.0,0.0,0.0,5.0,47.0,6.0,38.0,3.0,0.0,2022
,Vestavia Hills,38515.0,30.0,3.0,7.0,3.0,17.0,281.0,29.0,217.0,35.0,1.0,2022
,Walnut Grove,773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Warrior,3189.0,5.0,0.0,1.0,0.0,4.0,12.0,2.0,8.0,2.0,0.0,2022
,Weaver,3394.0,16.0,0.0,3.0,0.0,13.0,77.0,20.0,51.0,6.0,0.0,2022
,Wedowee,719.0,3.0,0.0,0.0,0.0,3.0,28.0,4.0,21.0,3.0,0.0,2022
,Wetumpka,7317.0,12.0,1.0,1.0,0.0,10.0,249.0,20.0,220.0,9.0,1.0,2022
,Winfield,4805.0,6.0,0.0,2.0,0.0,4.0,143.0,22.0,113.0,8.0,1.0,2022
,Woodstock,1691.0,11.0,0.0,5.0,0.0,6.0,55.0,4.0,43.0,8.0,0.0,2022
,York,2387.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2022
ALASKA,Anchorage,285821.0,3289.0,29.0,492.0,436.0,2332.0,7900.0,1179.0,5605.0,1116.0,136.0,2022
