State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Year
ALABAMA,Abbeville,2390.0,13.0,0.0,0.0,0.0,13.0,42.0,10.0,30.0,2.0,0.0,2022
,Adamsville,4233.0,19.0,1.0,0.0,0.0,18.0,230.0,18.0,195.0,17.0,0.0,2022
,Addison,672.0,4.0,0.0,0.0,0.0,4.0,19.0,8.0,9.0,2.0,0.0,2022
,Alabaster,33974.0,33.0,0.0,3.0,8.0,22.0,712.0,14.0,678.0,20.0,0.0,2022
,Alexander City,14476.0,115.0,2.0,5.0,7.0,101.0,670.0,294.0,326.0,50.0,2.0,2022
,Aliceville,2081.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2022
,Andalusia,8699.0,42.0,2.0,4.0,5.0,31.0,346.0,110.0,203.0,33.0,1.0,2022
,Anniston,21007.0,177.0,4.0,11.0,17.0,145.0,1152.0,246.0,766.0,140.0,4.0,2022
,Arab,8550.0,28.0,0.0,6.0,3.0,19.0,290.0,48.0,210.0,32.0,1.0,2022
,Ardmore,1406.0,5.0,0.0,0.0,0.0,5.0,23.0,5.0,13.0,5.0,1.0,2022
,Argo,4421.0,3.0,0.0,0.0,0.0,3.0,15.0,2.0,10.0,3.0,0.0,2022
,Ashford,2255.0,4.0,0.0,0.0,0.0,4.0,10.0,0.0,10.0,0.0,0.0,2022
,Ashland,1962.0,11.0,0.0,0.0,0.0,11.0,31.0,6.0,24.0,1.0,1.0,2022
,Ashville,2376.0,5.0,0.0,0.0,1.0,4.0,31.0,6.0,21.0,4.0,0.0,2022
,Athens,28438.0,59.0,1.0,4.0,8.0,46.0,765.0,136.0,589.0,40.0,0.0,2022
,Atmore,8536.0,127.0,0.0,7.0,3.0,117.0,365.0,53.0,280.0,32.0,0.0,2022
,Attalla,5840.0,22.0,2.0,1.0,5.0,14.0,460.0,231.0,205.0,24.0,0.0,2022
,Auburn,80759.0,106.0,3.0,23.0,8.0,72.0,937.0,74.0,797.0,66.0,0.0,2022
,Autaugaville,787.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2022
,Bay Minette,8000.0,41.0,0.0,1.0,1.0,39.0,129.0,11.0,112.0,6.0,0.0,2022
