State,City,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ARIZONA,Clarkdale,2020,4433.0,6.0,2.0,1.0,0.0,3.0,23.0,2.0,21.0,0.0,0.0
ARIZONA,Colorado City,2020,4838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIZONA,Coolidge,2020,13277.0,80.0,0.0,4.0,5.0,71.0,352.0,37.0,295.0,20.0,5.0
ARIZONA,Cottonwood,2020,12380.0,47.0,1.0,3.0,8.0,35.0,478.0,56.0,392.0,30.0,7.0
ARIZONA,Douglas,2020,16044.0,17.0,0.0,1.0,1.0,15.0,395.0,67.0,311.0,17.0,
ARIZONA,Eagar,2020,4944.0,10.0,0.0,1.0,0.0,9.0,29.0,7.0,19.0,3.0,0.0
ARIZONA,El Mirage,2020,36221.0,106.0,4.0,25.0,11.0,66.0,803.0,131.0,579.0,93.0,
ARIZONA,Florence,2020,27571.0,25.0,0.0,0.0,1.0,24.0,73.0,12.0,55.0,6.0,
ARIZONA,Gilbert,2020,259629.0,284.0,4.0,47.0,40.0,193.0,2798.0,395.0,2253.0,150.0,10.0
ARIZONA,Glendale,2020,255468.0,1123.0,24.0,83.0,208.0,808.0,6956.0,1273.0,4924.0,759.0,67.0
ARIZONA,Globe,2020,7328.0,140.0,1.0,1.0,6.0,132.0,469.0,50.0,382.0,37.0,
ARIZONA,Goodyear,2020,89607.0,199.0,2.0,20.0,30.0,147.0,1922.0,284.0,1561.0,77.0,
ARIZONA,Hayden,2020,976.0,6.0,0.0,0.0,0.0,6.0,12.0,4.0,6.0,2.0,2.0
ARIZONA,Huachuca City,2020,1723.0,1.0,0.0,1.0,0.0,0.0,18.0,2.0,16.0,0.0,0.0
ARIZONA,Jerome,2020,456.0,1.0,0.0,0.0,0.0,1.0,11.0,4.0,6.0,1.0,0.0
ARIZONA,Kingman,2020,31351.0,124.0,2.0,9.0,17.0,96.0,1106.0,136.0,868.0,102.0,13.0
